mol_id,smiles,pIC50
CHEMBL464211,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccc(F)cc6)cc4F)c3s2,7.57
CHEMBL517469,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccccc6F)cc4F)c3s2,7.0
CHEMBL271984,COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)N)c2cc1OC,5.16
CHEMBL406914,COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)NC(C)(C)C)c2cc1OC,4.96
CHEMBL270342,COc1ccc2c(Oc3ccc4c(cccc4c3)C(=O)NC5CC5)ccnc2c1,4.7
CHEMBL269871,CCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,4.7
CHEMBL428961,COc1cc2nccc(Oc3ccc4c(cccc4c3)C(=O)NC5(C)CC5)c2cc1OC,5.3
CHEMBL270306,COc1cc2nccc(Oc3ccc4N(CCOc4c3)C(=O)N[C@@H](C)c5ccccc5)c2cc1OC,6.34
CHEMBL399710,Cc1ccn2ncnc(Oc3ccc(NC(=O)c4ccccc4F)cc3F)c12,6.12
CHEMBL251782,CN1CCN(CCOc2cn3ncnc(Oc4ccc(NC(=O)c5cc(Cl)ccc5F)cc4F)c3c2C)CC1,7.16
CHEMBL400726,NCC1CN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)C1,6.75
CHEMBL254086,NC1CCC(=Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,8.82
CHEMBL254907,CN(C)CCOc1cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c2c1C,6.85
CHEMBL255091,CN1CCN(CCOc2cn3ncnc(Oc4ccc(NC(=O)c5cc(F)ccc5F)cc4F)c3c2C)CC1,7.4
CHEMBL509032,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,5.78
CHEMBL246284,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc23)c1,5.19
CHEMBL1642144,CNC(=O)c1cccc(F)c1Nc2nc(Nc3ccc4N(CCCOc4c3)C(=O)C)ncc2Cl,7.55
CHEMBL373882,CNc1ncnc(n1)c2cccnc2Oc3ccc(F)c(c3)C(=O)Nc4cc(ccc4N(C)CCCN(C)C)C(F)(F)F,4.6
