mol_id,smiles,pIC50
CHEMBL285063,Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,8.57
CHEMBL433305,C1CCc2c(C1)[nH]c3ncnc(Nc4ccccc4)c23,6.51
CHEMBL118205,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2oc3ccccc3n2)c1O,5.28
CHEMBL555201,Cl.COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,7.0
CHEMBL419047,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2ccc(O)cc2)c1O,5.7
CHEMBL75177,Clc1cccc(Nc2ncnc3[nH]c4CCCCc4c23)c1,6.92
CHEMBL205676,Fc1ccc(Nc2ncnc3Oc4ccc(Cl)cc4CNc23)cc1Cl,6.0
CHEMBL204715,COc1ccc2CNc3c(Nc4cccc(Br)c4)ncnc3Oc2c1,5.52
CHEMBL203219,Brc1cccc(Nc2ncnc3Oc4ccccc4CNc23)c1,5.09
CHEMBL92709,COc1cc2ncnc(Nc3cc(Br)cc(Br)c3)c2cc1OC,6.95
CHEMBL289959,N(c1ccccc1)c2ncnc3ccccc23,6.46
CHEMBL73406,Cc1[nH]c2ncnc(Nc3cc(Cl)cc(Cl)c3)c2c1C,6.77
CHEMBL92936,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],7.17
CHEMBL113900,CC(C)N(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)C(C)C,6.6
CHEMBL330323,COc1cc2ncnc(Nc3nccc4ccccc34)c2cc1OC,5.75
CHEMBL161226,CNC(=O)c1c(SSc2[nH]c3ccccc3c2C(=O)NC)[nH]c4ccccc14,5.21
CHEMBL295961,CNc1ccc2cncnc2c1,8.4
CHEMBL205776,CN1CCN(CCCOc2cc(OC3CCOCC3)c4c(Nc5ccc(F)c(Cl)c5)ncnc4c2)CC1,7.18
CHEMBL379017,COc1cc(OC2CCN(CC2)S(=O)(=O)C)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c1,5.02
CHEMBL203295,COc1cc(OC2CCN(C)CC2)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c1,7.06
CHEMBL202411,OCC#CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,7.6
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,8.51
